
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018b (9.5.0.944444) 64-bit (glnxa64)
                              August 28, 2018

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> GFDL-CM4C192-SST, year: 2016, month: 1
GFDL-CM4C192-SST, year: 2016, month: 2
GFDL-CM4C192-SST, year: 2016, month: 3
GFDL-CM4C192-SST, year: 2016, month: 4
GFDL-CM4C192-SST, year: 2016, month: 5
GFDL-CM4C192-SST, year: 2016, month: 6
GFDL-CM4C192-SST, year: 2016, month: 7
GFDL-CM4C192-SST, year: 2016, month: 8
GFDL-CM4C192-SST, year: 2016, month: 9
GFDL-CM4C192-SST, year: 2016, month: 10
GFDL-CM4C192-SST, year: 2016, month: 11
GFDL-CM4C192-SST, year: 2016, month: 12
GFDL-CM4C192-SST, year: 2017, month: 1
GFDL-CM4C192-SST, year: 2017, month: 2
GFDL-CM4C192-SST, year: 2017, month: 3
GFDL-CM4C192-SST, year: 2017, month: 4
GFDL-CM4C192-SST, year: 2017, month: 5
GFDL-CM4C192-SST, year: 2017, month: 6
GFDL-CM4C192-SST, year: 2017, month: 7
GFDL-CM4C192-SST, year: 2017, month: 8
GFDL-CM4C192-SST, year: 2017, month: 9
GFDL-CM4C192-SST, year: 2017, month: 10
GFDL-CM4C192-SST, year: 2017, month: 11
GFDL-CM4C192-SST, year: 2017, month: 12
GFDL-CM4C192-SST, year: 2018, month: 1
GFDL-CM4C192-SST, year: 2018, month: 2
GFDL-CM4C192-SST, year: 2018, month: 3
GFDL-CM4C192-SST, year: 2018, month: 4
GFDL-CM4C192-SST, year: 2018, month: 5
GFDL-CM4C192-SST, year: 2018, month: 6
GFDL-CM4C192-SST, year: 2018, month: 7
GFDL-CM4C192-SST, year: 2018, month: 8
GFDL-CM4C192-SST, year: 2018, month: 9
GFDL-CM4C192-SST, year: 2018, month: 10
GFDL-CM4C192-SST, year: 2018, month: 11
GFDL-CM4C192-SST, year: 2018, month: 12
GFDL-CM4C192-SST, year: 2019, month: 1
GFDL-CM4C192-SST, year: 2019, month: 2
GFDL-CM4C192-SST, year: 2019, month: 3
GFDL-CM4C192-SST, year: 2019, month: 4
GFDL-CM4C192-SST, year: 2019, month: 5
GFDL-CM4C192-SST, year: 2019, month: 6
GFDL-CM4C192-SST, year: 2019, month: 7
GFDL-CM4C192-SST, year: 2019, month: 8
GFDL-CM4C192-SST, year: 2019, month: 9
GFDL-CM4C192-SST, year: 2019, month: 10
GFDL-CM4C192-SST, year: 2019, month: 11
GFDL-CM4C192-SST, year: 2019, month: 12
GFDL-CM4C192-SST, year: 2020, month: 1
GFDL-CM4C192-SST, year: 2020, month: 2
GFDL-CM4C192-SST, year: 2020, month: 3
GFDL-CM4C192-SST, year: 2020, month: 4
GFDL-CM4C192-SST, year: 2020, month: 5
GFDL-CM4C192-SST, year: 2020, month: 6
GFDL-CM4C192-SST, year: 2020, month: 7
GFDL-CM4C192-SST, year: 2020, month: 8
GFDL-CM4C192-SST, year: 2020, month: 9
GFDL-CM4C192-SST, year: 2020, month: 10
GFDL-CM4C192-SST, year: 2020, month: 11
GFDL-CM4C192-SST, year: 2020, month: 12
GFDL-CM4C192-SST, year: 2021, month: 1
GFDL-CM4C192-SST, year: 2021, month: 2
GFDL-CM4C192-SST, year: 2021, month: 3
GFDL-CM4C192-SST, year: 2021, month: 4
GFDL-CM4C192-SST, year: 2021, month: 5
GFDL-CM4C192-SST, year: 2021, month: 6
GFDL-CM4C192-SST, year: 2021, month: 7
GFDL-CM4C192-SST, year: 2021, month: 8
GFDL-CM4C192-SST, year: 2021, month: 9
GFDL-CM4C192-SST, year: 2021, month: 10
GFDL-CM4C192-SST, year: 2021, month: 11
GFDL-CM4C192-SST, year: 2021, month: 12
GFDL-CM4C192-SST, year: 2022, month: 1
GFDL-CM4C192-SST, year: 2022, month: 2
GFDL-CM4C192-SST, year: 2022, month: 3
GFDL-CM4C192-SST, year: 2022, month: 4
GFDL-CM4C192-SST, year: 2022, month: 5
GFDL-CM4C192-SST, year: 2022, month: 6
GFDL-CM4C192-SST, year: 2022, month: 7
GFDL-CM4C192-SST, year: 2022, month: 8
GFDL-CM4C192-SST, year: 2022, month: 9
GFDL-CM4C192-SST, year: 2022, month: 10
GFDL-CM4C192-SST, year: 2022, month: 11
GFDL-CM4C192-SST, year: 2022, month: 12
GFDL-CM4C192-SST, year: 2023, month: 1
GFDL-CM4C192-SST, year: 2023, month: 2
GFDL-CM4C192-SST, year: 2023, month: 3
GFDL-CM4C192-SST, year: 2023, month: 4
GFDL-CM4C192-SST, year: 2023, month: 5
GFDL-CM4C192-SST, year: 2023, month: 6
GFDL-CM4C192-SST, year: 2023, month: 7
GFDL-CM4C192-SST, year: 2023, month: 8
GFDL-CM4C192-SST, year: 2023, month: 9
GFDL-CM4C192-SST, year: 2023, month: 10
GFDL-CM4C192-SST, year: 2023, month: 11
GFDL-CM4C192-SST, year: 2023, month: 12
GFDL-CM4C192-SST, year: 2024, month: 1
GFDL-CM4C192-SST, year: 2024, month: 2
GFDL-CM4C192-SST, year: 2024, month: 3
GFDL-CM4C192-SST, year: 2024, month: 4
GFDL-CM4C192-SST, year: 2024, month: 5
GFDL-CM4C192-SST, year: 2024, month: 6
GFDL-CM4C192-SST, year: 2024, month: 7
GFDL-CM4C192-SST, year: 2024, month: 8
GFDL-CM4C192-SST, year: 2024, month: 9
GFDL-CM4C192-SST, year: 2024, month: 10
GFDL-CM4C192-SST, year: 2024, month: 11
GFDL-CM4C192-SST, year: 2024, month: 12
GFDL-CM4C192-SST, year: 2025, month: 1
GFDL-CM4C192-SST, year: 2025, month: 2
GFDL-CM4C192-SST, year: 2025, month: 3
GFDL-CM4C192-SST, year: 2025, month: 4
GFDL-CM4C192-SST, year: 2025, month: 5
GFDL-CM4C192-SST, year: 2025, month: 6
GFDL-CM4C192-SST, year: 2025, month: 7
GFDL-CM4C192-SST, year: 2025, month: 8
GFDL-CM4C192-SST, year: 2025, month: 9
GFDL-CM4C192-SST, year: 2025, month: 10
GFDL-CM4C192-SST, year: 2025, month: 11
GFDL-CM4C192-SST, year: 2025, month: 12
GFDL-CM4C192-SST, year: 2026, month: 1
GFDL-CM4C192-SST, year: 2026, month: 2
GFDL-CM4C192-SST, year: 2026, month: 3
GFDL-CM4C192-SST, year: 2026, month: 4
GFDL-CM4C192-SST, year: 2026, month: 5
GFDL-CM4C192-SST, year: 2026, month: 6
GFDL-CM4C192-SST, year: 2026, month: 7
GFDL-CM4C192-SST, year: 2026, month: 8
GFDL-CM4C192-SST, year: 2026, month: 9
GFDL-CM4C192-SST, year: 2026, month: 10
GFDL-CM4C192-SST, year: 2026, month: 11
GFDL-CM4C192-SST, year: 2026, month: 12
GFDL-CM4C192-SST, year: 2027, month: 1
GFDL-CM4C192-SST, year: 2027, month: 2
GFDL-CM4C192-SST, year: 2027, month: 3
GFDL-CM4C192-SST, year: 2027, month: 4
GFDL-CM4C192-SST, year: 2027, month: 5
GFDL-CM4C192-SST, year: 2027, month: 6
GFDL-CM4C192-SST, year: 2027, month: 7
GFDL-CM4C192-SST, year: 2027, month: 8
GFDL-CM4C192-SST, year: 2027, month: 9
GFDL-CM4C192-SST, year: 2027, month: 10
GFDL-CM4C192-SST, year: 2027, month: 11
GFDL-CM4C192-SST, year: 2027, month: 12
GFDL-CM4C192-SST, year: 2028, month: 1
GFDL-CM4C192-SST, year: 2028, month: 2
GFDL-CM4C192-SST, year: 2028, month: 3
GFDL-CM4C192-SST, year: 2028, month: 4
GFDL-CM4C192-SST, year: 2028, month: 5
GFDL-CM4C192-SST, year: 2028, month: 6
GFDL-CM4C192-SST, year: 2028, month: 7
GFDL-CM4C192-SST, year: 2028, month: 8
GFDL-CM4C192-SST, year: 2028, month: 9
GFDL-CM4C192-SST, year: 2028, month: 10
GFDL-CM4C192-SST, year: 2028, month: 11
GFDL-CM4C192-SST, year: 2028, month: 12
GFDL-CM4C192-SST, year: 2029, month: 1
GFDL-CM4C192-SST, year: 2029, month: 2
GFDL-CM4C192-SST, year: 2029, month: 3
GFDL-CM4C192-SST, year: 2029, month: 4
GFDL-CM4C192-SST, year: 2029, month: 5
GFDL-CM4C192-SST, year: 2029, month: 6
GFDL-CM4C192-SST, year: 2029, month: 7
GFDL-CM4C192-SST, year: 2029, month: 8
GFDL-CM4C192-SST, year: 2029, month: 9
GFDL-CM4C192-SST, year: 2029, month: 10
GFDL-CM4C192-SST, year: 2029, month: 11
GFDL-CM4C192-SST, year: 2029, month: 12
GFDL-CM4C192-SST, year: 2030, month: 1
GFDL-CM4C192-SST, year: 2030, month: 2
GFDL-CM4C192-SST, year: 2030, month: 3
GFDL-CM4C192-SST, year: 2030, month: 4
GFDL-CM4C192-SST, year: 2030, month: 5
GFDL-CM4C192-SST, year: 2030, month: 6
GFDL-CM4C192-SST, year: 2030, month: 7
GFDL-CM4C192-SST, year: 2030, month: 8
GFDL-CM4C192-SST, year: 2030, month: 9
GFDL-CM4C192-SST, year: 2030, month: 10
GFDL-CM4C192-SST, year: 2030, month: 11
GFDL-CM4C192-SST, year: 2030, month: 12
GFDL-CM4C192-SST, year: 2031, month: 1
GFDL-CM4C192-SST, year: 2031, month: 2
GFDL-CM4C192-SST, year: 2031, month: 3
GFDL-CM4C192-SST, year: 2031, month: 4
GFDL-CM4C192-SST, year: 2031, month: 5
GFDL-CM4C192-SST, year: 2031, month: 6
GFDL-CM4C192-SST, year: 2031, month: 7
GFDL-CM4C192-SST, year: 2031, month: 8
GFDL-CM4C192-SST, year: 2031, month: 9
GFDL-CM4C192-SST, year: 2031, month: 10
GFDL-CM4C192-SST, year: 2031, month: 11
GFDL-CM4C192-SST, year: 2031, month: 12
GFDL-CM4C192-SST, year: 2032, month: 1
GFDL-CM4C192-SST, year: 2032, month: 2
GFDL-CM4C192-SST, year: 2032, month: 3
GFDL-CM4C192-SST, year: 2032, month: 4
GFDL-CM4C192-SST, year: 2032, month: 5
GFDL-CM4C192-SST, year: 2032, month: 6
GFDL-CM4C192-SST, year: 2032, month: 7
GFDL-CM4C192-SST, year: 2032, month: 8
GFDL-CM4C192-SST, year: 2032, month: 9
GFDL-CM4C192-SST, year: 2032, month: 10
GFDL-CM4C192-SST, year: 2032, month: 11
GFDL-CM4C192-SST, year: 2032, month: 12
GFDL-CM4C192-SST, year: 2033, month: 1
GFDL-CM4C192-SST, year: 2033, month: 2
GFDL-CM4C192-SST, year: 2033, month: 3
GFDL-CM4C192-SST, year: 2033, month: 4
GFDL-CM4C192-SST, year: 2033, month: 5
GFDL-CM4C192-SST, year: 2033, month: 6
GFDL-CM4C192-SST, year: 2033, month: 7
GFDL-CM4C192-SST, year: 2033, month: 8
GFDL-CM4C192-SST, year: 2033, month: 9
GFDL-CM4C192-SST, year: 2033, month: 10
GFDL-CM4C192-SST, year: 2033, month: 11
GFDL-CM4C192-SST, year: 2033, month: 12
GFDL-CM4C192-SST, year: 2034, month: 1
GFDL-CM4C192-SST, year: 2034, month: 2
GFDL-CM4C192-SST, year: 2034, month: 3
GFDL-CM4C192-SST, year: 2034, month: 4
GFDL-CM4C192-SST, year: 2034, month: 5
GFDL-CM4C192-SST, year: 2034, month: 6
GFDL-CM4C192-SST, year: 2034, month: 7
GFDL-CM4C192-SST, year: 2034, month: 8
GFDL-CM4C192-SST, year: 2034, month: 9
GFDL-CM4C192-SST, year: 2034, month: 10
GFDL-CM4C192-SST, year: 2034, month: 11
GFDL-CM4C192-SST, year: 2034, month: 12
GFDL-CM4C192-SST, year: 2035, month: 1
GFDL-CM4C192-SST, year: 2035, month: 2
GFDL-CM4C192-SST, year: 2035, month: 3
GFDL-CM4C192-SST, year: 2035, month: 4
GFDL-CM4C192-SST, year: 2035, month: 5
GFDL-CM4C192-SST, year: 2035, month: 6
GFDL-CM4C192-SST, year: 2035, month: 7
GFDL-CM4C192-SST, year: 2035, month: 8
GFDL-CM4C192-SST, year: 2035, month: 9
GFDL-CM4C192-SST, year: 2035, month: 10
GFDL-CM4C192-SST, year: 2035, month: 11
GFDL-CM4C192-SST, year: 2035, month: 12
GFDL-CM4C192-SST, year: 2036, month: 1
GFDL-CM4C192-SST, year: 2036, month: 2
GFDL-CM4C192-SST, year: 2036, month: 3
GFDL-CM4C192-SST, year: 2036, month: 4
GFDL-CM4C192-SST, year: 2036, month: 5
GFDL-CM4C192-SST, year: 2036, month: 6
GFDL-CM4C192-SST, year: 2036, month: 7
GFDL-CM4C192-SST, year: 2036, month: 8
GFDL-CM4C192-SST, year: 2036, month: 9
GFDL-CM4C192-SST, year: 2036, month: 10
GFDL-CM4C192-SST, year: 2036, month: 11
GFDL-CM4C192-SST, year: 2036, month: 12
GFDL-CM4C192-SST, year: 2037, month: 1
GFDL-CM4C192-SST, year: 2037, month: 2
GFDL-CM4C192-SST, year: 2037, month: 3
GFDL-CM4C192-SST, year: 2037, month: 4
GFDL-CM4C192-SST, year: 2037, month: 5
GFDL-CM4C192-SST, year: 2037, month: 6
GFDL-CM4C192-SST, year: 2037, month: 7
